instance_name,num_customers,num_facilities,file_path,B1_linear_terms,B2_quadratic_terms,B3_cubic_terms,B4_nonlinear_terms,total_terms,B5_rule1_applications,B5_rule2_applications,B5_variables_fixed_rule1,B5_variables_fixed_rule2,B5_total_variables_fixed,B5_solved_to_optimality,B5_problem_reduction_percentage,B6_mql_solved_to_optimality,B6_mql_branchings,B6_mql_nodes_solved_by_khumawala,B7_flba_solved_to_optimality,B7_flba_branchings
cap71,50,16,data/cap/cap71.txt,17,4,4,542,560,1,1,3,10,13,False,81.25,False,5.0,0.0,False,1.0
cap64,50,16,data/cap/cap64.txt,17,4,4,542,560,1,1,8,4,12,False,75.0,False,5.0,0.0,False,1.0
cap72,50,16,data/cap/cap72.txt,17,4,4,542,560,1,1,7,5,12,False,75.0,False,5.0,0.0,False,1.0
cap73,50,16,data/cap/cap73.txt,17,4,4,542,560,1,1,8,4,12,False,75.0,False,5.0,0.0,False,1.0
cap63,50,16,data/cap/cap63.txt,17,4,4,542,560,1,1,8,4,12,False,75.0,False,5.0,0.0,False,1.0
cap62,50,16,data/cap/cap62.txt,17,4,4,542,560,1,1,7,5,12,False,75.0,False,5.0,0.0,False,1.0
cap74,50,16,data/cap/cap74.txt,17,4,4,542,560,1,1,8,4,12,False,75.0,False,5.0,0.0,False,1.0
cap61,50,16,data/cap/cap61.txt,17,4,4,542,560,1,1,3,10,13,False,81.25,False,5.0,0.0,False,1.0
cap44,50,16,data/cap/cap44.txt,17,4,4,542,560,1,1,8,4,12,False,75.0,False,5.0,0.0,False,1.0
cap51,50,16,data/cap/cap51.txt,17,4,4,542,560,1,1,8,4,12,False,75.0,False,5.0,0.0,False,1.0
cap42,50,16,data/cap/cap42.txt,17,4,4,542,560,1,1,7,5,12,False,75.0,False,5.0,0.0,False,1.0
cap43,50,16,data/cap/cap43.txt,17,4,4,542,560,1,1,8,4,12,False,75.0,False,5.0,0.0,False,1.0
cap41,50,16,data/cap/cap41.txt,17,4,4,542,560,1,1,3,10,13,False,81.25,False,5.0,0.0,False,1.0
cap93,50,25,data/cap/cap93.txt,24,6,4,745,770,1,1,10,7,17,False,68.0,False,5.0,0.0,False,1.0
cap92,50,25,data/cap/cap92.txt,24,6,4,745,770,1,1,8,8,16,False,64.0,False,5.0,0.0,False,1.0
cap84,50,25,data/cap/cap84.txt,24,6,4,745,770,1,1,11,6,17,False,68.0,False,5.0,0.0,False,1.0
cap91,50,25,data/cap/cap91.txt,24,6,4,745,770,1,1,3,15,18,False,72.0,False,5.0,0.0,False,1.0
cap81,50,25,data/cap/cap81.txt,24,6,4,745,770,1,1,3,15,18,False,72.0,False,5.0,0.0,False,1.0
cap94,50,25,data/cap/cap94.txt,24,6,4,745,770,1,1,11,6,17,False,68.0,False,5.0,0.0,False,1.0
cap82,50,25,data/cap/cap82.txt,24,6,4,745,770,1,1,8,8,16,False,64.0,False,5.0,0.0,False,1.0
cap83,50,25,data/cap/cap83.txt,24,6,4,745,770,1,1,10,7,17,False,68.0,False,5.0,0.0,False,1.0
cap104,50,25,data/cap/cap104.txt,24,6,4,745,770,1,1,11,6,17,False,68.0,False,5.0,0.0,False,1.0
cap101,50,25,data/cap/cap101.txt,24,6,4,745,770,1,1,3,15,18,False,72.0,False,5.0,0.0,False,1.0
cap102,50,25,data/cap/cap102.txt,24,6,4,745,770,1,1,8,8,16,False,64.0,False,5.0,0.0,False,1.0
cap103,50,25,data/cap/cap103.txt,24,6,4,745,770,1,1,10,7,17,False,68.0,False,5.0,0.0,False,1.0
cap132,50,50,data/cap/cap132.txt,50,10,10,1037,1088,1,1,17,9,26,False,52.0,skipped_large,,,skipped_large,
cap133,50,50,data/cap/cap133.txt,50,10,10,1037,1088,1,1,21,8,29,False,57.99999999999999,skipped_large,,,skipped_large,
cap131,50,50,data/cap/cap131.txt,50,10,10,1037,1088,1,1,11,17,28,False,56.00000000000001,skipped_large,,,skipped_large,
cap124,50,50,data/cap/cap124.txt,50,10,10,1037,1088,1,1,25,6,31,False,62.0,skipped_large,,,skipped_large,
cap134,50,50,data/cap/cap134.txt,50,10,10,1037,1088,1,1,25,6,31,False,62.0,skipped_large,,,skipped_large,
cap121,50,50,data/cap/cap121.txt,50,10,10,1037,1088,1,1,11,17,28,False,56.00000000000001,skipped_large,,,skipped_large,
cap123,50,50,data/cap/cap123.txt,50,10,10,1037,1088,1,1,21,8,29,False,57.99999999999999,skipped_large,,,skipped_large,
cap122,50,50,data/cap/cap122.txt,50,10,10,1037,1088,1,1,17,9,26,False,52.0,skipped_large,,,skipped_large,
cap113,50,50,data/cap/cap113.txt,50,10,10,1037,1088,1,1,21,8,29,False,57.99999999999999,skipped_large,,,skipped_large,
cap112,50,50,data/cap/cap112.txt,50,10,10,1037,1088,1,1,17,9,26,False,52.0,skipped_large,,,skipped_large,
cap111,50,50,data/cap/cap111.txt,50,10,10,1037,1088,1,1,11,17,28,False,56.00000000000001,skipped_large,,,skipped_large,
cap114,50,50,data/cap/cap114.txt,50,10,10,1037,1088,1,1,25,6,31,False,62.0,skipped_large,,,skipped_large,
